setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
4,2022,24/01/2022,30/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,8.00,7642.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,7896.00
45,2022,07/11/2022,13/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,2,1.00,2961.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,1.00,57248.00
27,2022,04/07/2022,10/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
26,2022,27/06/2022,03/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
46,2022,14/11/2022,20/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,2.00,7896.00
20,2022,16/05/2022,22/05/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
33,2020,10/08/2020,16/08/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15492.00
30,2022,25/07/2022,31/07/2022,64,GIRONA,6400,GIRONA,Dona,45 a 59,3,2.00,54086.00
21,2020,18/05/2020,24/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,2.00,18574.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
20,2020,11/05/2020,17/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,1,1.00,18320.00
20,2021,17/05/2021,23/05/2021,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,1.00,5403.00
18,2022,02/05/2022,08/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15344.00
52,2020,21/12/2020,27/12/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,8.00,14700.00
46,2020,09/11/2020,15/11/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
28,2020,06/07/2020,12/07/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,3,1.00,107038.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
33,2021,16/08/2021,22/08/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,4,1.00,17938.00
53,2020,28/12/2020,03/01/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
12,2022,21/03/2022,27/03/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2020,16/03/2020,22/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
13,2020,23/03/2020,29/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,7.00,54706.00
23,2020,01/06/2020,07/06/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,15 a 44,4,1.00,77580.00
11,2022,14/03/2022,20/03/2022,61,LLEIDA,6100,LLEIDA,Home,60 a 69,3,1.00,12911.00
13,2021,29/03/2021,04/04/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1.00,3345.00
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,4,1.00,6880.00
15,2021,12/04/2021,18/04/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2021,22/03/2021,28/03/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
23,2022,06/06/2022,12/06/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
49,2021,06/12/2021,12/12/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,1.00,32266.00
50,2021,13/12/2021,19/12/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
17,2020,20/04/2020,26/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,4,1.00,21328.00
34,2022,22/08/2022,28/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,1.00,32347.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
51,2021,20/12/2021,26/12/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,15 a 44,3,1.00,20166.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,21.00,11720.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Home,60 a 69,-1,1.00,0.00
48,2021,29/11/2021,05/12/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1.00,6557.00
19,2021,10/05/2021,16/05/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,2,1.00,4632.00
40,2020,28/09/2020,04/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,2.00,6330.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,2,2.00,31400.00
18,2021,03/05/2021,09/05/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,3,2.00,17568.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,2,2.00,74540.00
8,2021,22/02/2021,28/02/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,2.00,0.00
10,2021,08/03/2021,14/03/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,5.00,10920.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,2.00,0.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,15.00,29813.00
16,2020,13/04/2020,19/04/2020,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,1.00,20581.00
10,2022,07/03/2022,13/03/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7958.00
49,2020,30/11/2020,06/12/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
