setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,recompte
30,2022,25/07/2022,31/07/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
30,2022,25/07/2022,31/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,0.00
42,2022,17/10/2022,23/10/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,0.00
42,2022,17/10/2022,23/10/2022,61,LLEIDA,6100,LLEIDA,1.00
42,2022,17/10/2022,23/10/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,0.00
29,2022,18/07/2022,24/07/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,6.00
42,2022,17/10/2022,23/10/2022,64,GIRONA,6400,GIRONA,2.00
42,2022,17/10/2022,23/10/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
42,2022,17/10/2022,23/10/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,0.00
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,6.00
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7801,METROPOLITANA SUD,2.00
43,2022,24/10/2022,30/10/2022,64,GIRONA,6400,GIRONA,2.00
43,2022,24/10/2022,30/10/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
28,2022,11/07/2022,17/07/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
43,2022,24/10/2022,30/10/2022,61,LLEIDA,6100,LLEIDA,1.00
43,2022,24/10/2022,30/10/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,0.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,5.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,3.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7801,METROPOLITANA SUD,2.00
43,2022,24/10/2022,30/10/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,1.00
